=== SIMPLE_TEST BS=1 ===
T 13: 0.000060000000000 s
T 14: 0.000311000000000 s
T 15: 0.000171000000000 s
T 16: 0.000157000000000 s
T 17: 0.000074000000000 s
T 18: 0.000092000000000 s
T 19: 0.000116000000000 s

=== LOCAL_FOR BS=VEC_LEN/NT ===
success
T  0: 0.000061000000000 s
T  1: 0.000062000000000 s
T  2: 0.000060000000000 s
T  3: 0.000060000000000 s
T  4: 0.000061000000000 s
T  5: 0.000061000000000 s
T  6: 0.000072000000000 s
T  7: 0.000060000000000 s
T  8: 0.000066000000000 s
T  9: 0.000061000000000 s
T 10: 0.000073000000000 s
T 11: 0.000060000000000 s
T 12: 0.000086000000000 s
T 13: 0.000071000000000 s
T 14: 0.000060000000000 s
T 15: 0.000061000000000 s
T 16: 0.000070000000000 s
T 17: 0.000070000000000 s
T 18: 0.000070000000000 s
T 19: 0.000078000000000 s

=== LOCAL_FOR BS=\(VEC_LEN/NT\)+1 ===
error
T  0: 0.000060000000000 s
T  1: 0.000060000000000 s
T  2: 0.000060000000000 s
T  3: 0.000060000000000 s
T  4: 0.000061000000000 s
T  5: 0.000061000000000 s
T  6: 0.000060000000000 s
T  7: 0.000061000000000 s
T  8: 0.000060000000000 s
T  9: 0.000061000000000 s
T 10: 0.000060000000000 s
T 11: 0.000074000000000 s
T 12: 0.000060000000000 s
T 13: 0.000068000000000 s
T 14: 0.000068000000000 s
T 15: 0.000078000000000 s
T 16: 0.000070000000000 s
T 17: 0.000070000000000 s
T 18: 0.000069000000000 s
T 19: 0.000084000000000 s

=== PARTITIONED_FOR BS=1 ===
error
T  0: 0.000000000000000 s
T  1: 0.000000000000000 s
T  2: 0.000000000000000 s
T  3: 0.000000000000000 s
T  4: 0.000000000000000 s
T  5: 0.000000000000000 s
T  6: 0.000001000000000 s
T  7: 0.000000000000000 s
T  8: 0.000001000000000 s
T  9: 0.000001000000000 s
T 10: 0.000001000000000 s
T 11: 0.000002000000000 s
T 12: 0.000000000000000 s
T 13: 0.000001000000000 s
T 14: 0.000000000000000 s
T 15: 0.000001000000000 s
T 16: 0.000001000000000 s
T 17: 0.000000000000000 s
T 18: 0.000001000000000 s
T 19: 0.000001000000000 s

=== PARTITIONED_FOR BS=VEC_LEN/NT ===
success
T  0: 0.002113000000000 s
T  1: 0.002109000000000 s
T  2: 0.002109000000000 s
T  3: 0.002111000000000 s
T  4: 0.002111000000000 s
T  5: 0.002112000000000 s
T  6: 0.002115000000000 s
T  7: 0.002149000000000 s
T  8: 0.003163000000000 s
T  9: 0.003167000000000 s
T 10: 0.002120000000000 s
T 11: 0.003169000000000 s
T 12: 0.002133000000000 s
T 13: 0.002111000000000 s
T 14: 0.002110000000000 s
T 15: 0.002751000000000 s
T 16: 0.003141000000000 s
T 17: 0.003404000000000 s
T 18: 0.003239000000000 s
T 19: 0.555761000000000 s

=== PARTITIONED_FOR BS=\(VEC_LEN/NT\)+1 ===
error
T  0: 0.001648000000000 s
T  1: 0.000000000000000 s
T  2: 0.000000000000000 s
T  3: 0.000000000000000 s
T  4: 0.000000000000000 s
T  5: 0.000001000000000 s
T  6: 0.000001000000000 s
T  7: 0.000000000000000 s
T  8: 0.000000000000000 s
T  9: 0.000001000000000 s
T 10: 0.000000000000000 s
T 11: 0.000000000000000 s
T 12: 0.000000000000000 s
T 13: 0.000001000000000 s
T 14: 0.000001000000000 s
T 15: 0.000001000000000 s
T 16: 0.000000000000000 s
T 17: 0.000000000000000 s
T 18: 0.000001000000000 s
T 19: 0.000000000000000 s

=== BLOCK_TRAVERSAL_FOR BS=1 ===
success
T  0: 0.001029000000000 s
T  1: 0.001034000000000 s
T  2: 0.001029000000000 s
T  3: 0.001034000000000 s
T  4: 0.001030000000000 s
T  5: 0.001032000000000 s
